identifiant_id;nom_de_l_organisme;adresse_de_l_organisme;code_postal;commune;lien_vers_la_ressource;description_des_contenus_et_de_l_experience_proposes_min_200_max_500_caracteres;si_enfants_merci_de_preciser_le_niveau_scolaire;titre_de_la_ressource;activite_proposee_apprendre_se_divertir_s_informer;public_cible;types_de_ressources_proposees;thematiques;contenus_adaptes_aux_types_de_handicap;temps_d_activite_estime_lecture_ecoute_visionnage_jeu;accessibilite_perennite_de_la_ressource;rattachement_de_l_organisme;autre_precisez;si_limite_dans_le_temps_precisez_jusqu_a_quelle_date;autres_preciez;adresse;latitude;longitude;geolocalisation
574;Air Productions;141 Boulevard Haussmann;75008;Paris;https://mytaratata.com/taratata/20000;Vidéos des live Taratata : Red Hot Chili Peppers, Jean-Louis Aubert, Metallica, David Bowie...;;My Taratata à la maison;Concerts, spectacles;Tous publics;Vidéo, flux en direct, programmes en différé;Musique, concerts et opéras;;Le temps d’une soirée;Accès permanent;Organisme privé;;;;141 Boulevard Haussmann 75008 Paris;48.8749068;2.3122274;48.8749068,2.3122274
580;Archives départementales - Ain;1, boulevard Paul Valéry;01000;Bourg-en-Bresse;http://www.archives.ain.fr/n/a-decouvrir/n:345;Expositions virtuelles, ressources pour comprendre, galeries d'images d'archives, anciennes publications de presse, ou encore les archives sonores.;;A découvrir en ligne;Approfondir ses connaissances;Tous publics;Images, collections numérisées, bases de données;Archives;;Le temps d’une soirée;Accès permanent;Collectivité territoriale;;;;1, boulevard Paul Valéry 1000 Bourg-en-Bresse;46.1948788;5.2261422;46.1948788,5.2261422
583;Archives départementales - Ardèche;Place André-Malraux;07000;Privas;https://archives.ardeche.fr/;Possibilité d'accéder à l'ensemble des ressources en ligne (archives numérisées, offres culturelles numériques);;Déambulations virtuelles;Approfondir ses connaissances;Tous publics;"Images, collections numérisées, bases de données;Livres numériques;Jeux;Expositions virtuelles";Archives;Navigation au clavier;Le temps d’une soirée;Accès permanent;Collectivité territoriale;;;;Place André-Malraux 7000 Privas;44.7322648;4.5963834;44.7322648,4.5963834
586;Archives départementales - Aude;Archives départementales de l'Aude;11855;Carcassonne  9;https://archivesdepartementales.aude.fr/mission-carcas;"Un jeu conçu spécialement pour les enfants et les parents. Ce jeu interactif et numérique, manuel et créatif est un jeu d'enquête : ""au VIIIe siècle, les Sarrasins occupent encore l’Aude. Depuis 725, ils se sont installés à Carcassonne. Charlemagne, nouveau roi des Francs, décide de reconquérir ces territoires ennemis. Cependant…""</p>";107|Primaire|Collège|Lycée;Mission Carcas;Jeux;Parents / Éducateurs;Jeux;Archives;"Audiodescription (AD);Jeu utilisant du HTML;Navigation au clavier;Facile à lire et à comprendre (FALC)";Le temps d’un vrai déjeuner;Accès permanent;Collectivité territoriale;;;Rubrique lancée pendant le confinement, mission Carcas vient enrichir les ressources pédagogiques des Archives départementales de l'Aude.;Archives départementales de l'Aude 11855 Carcassonne  9;43.2292889;2.3491001;43.2292889,2.3491001
591;Archives départementales - Côte-d'Or;8, rue Jeannin;21000;Dijon;https://archives.cotedor.fr/v2/site/AD21/Rechercher/Recherche_thematique;Naviguez parmi les archives en ligne : iconographie, première guerre mondiale, généalogie, archives contemporaines, ...;;Archives thématiques;Approfondir ses connaissances;Tous publics;Images, collections numérisées, bases de données;Archives;;Le temps d’une soirée;Accès permanent;Collectivité territoriale;;;;8, rue Jeannin 21000 Dijon;47.3222861;5.0440537;47.3222861,5.0440537
592;Archives départementales - Creuse;30bis rue Franklin Roosevelt;23000;Guéret;https://archives.creuse.fr/r/12/decouvrir/;Nombreuses ressources permettant d'écrire l'histoire du territoire et de ses habitants, par la mise en ligne de nombreux fonds numérisés (plus de 4,5 millions d’images d’état civil, presse ancienne, photographies...). Les expositions réalisées par le service, et les ressources pédagogiques associées, sont aussi disponibles, ainsi que des dossiers historiques.;;Archives en ligne;Approfondir ses connaissances;Tous publics;Images, collections numérisées, bases de données;Archives;;Le temps d’un vrai déjeuner;Accès permanent;Collectivité territoriale;;;;30bis rue Franklin Roosevelt 23000 Guéret;46.1726425;1.8827095;46.1726425,1.8827095
593;Archives départementales - Dordogne;Hôtel du département 2 rue Paul-Louis-Courier CS 11200 24019 Périgueux;24000;Périgueux;https://archives.dordogne.fr/r/7/archives-numerisees/archives;Archives orales, audiovisuelles, bibliothèque numérique ou encore généalogie;;Archives en ligne;Approfondir ses connaissances;Tous publics;"Vidéo, flux en direct, programmes en différé;Images, collections numérisées, bases de données";Archives;;Le temps d’une soirée;Accès permanent;Collectivité territoriale;;;;Hôtel du département 2 rue Paul-Louis-Courier CS 11200 24019 Périgueux 24000 Périgueux;45.1866163;0.7249304;45.1866163,0.7249304
594;Archives départementales - Dordogne;Hôtel du département 2 rue Paul-Louis-Courier CS 11200 24019 Périgueux;24000;Périgueux;https://vimeo.com/showcase/2921935;Visionner les conférences proposées par les Archives départementales sur des sujets ou des thèmes en relation avec l'histoire du département de la Dordogne : recherches archéologiques récentes, événements historiques, personnages célèbres ou non.;;Conférences des Archives de la Dordogne;Approfondir ses connaissances;Tous publics;"Vidéo, flux en direct, programmes en différé;Ressources pédagogiques;Cours en ligne, cours en ligne ouverts et massifs, conférences, tutoriels;Images, collections numérisées, bases de données";"Archéologie;Architecture et patrimoine;Archives";;Le temps d’un vrai déjeuner;Accès permanent;Collectivité territoriale;;;;Hôtel du département 2 rue Paul-Louis-Courier CS 11200 24019 Périgueux 24000 Périgueux;45.1866163;0.7249304;45.1866163,0.7249304
621;Archives départementales - Var;660 boulevard John Kennedy;83300;Draguignan;https://archives.var.fr/article.php?larub=97&titre=rechercher-dans-les-archives-numerisees-et-les-inventaires;9 millions de pages numérisées d'archives : généalogie (état civil, recensements de population,...), des images (photographies, cartes postales, affiches, …) mais aussi un espace de ressources pédagogiques pour les enseignants, ainsi quedes expositions virtuelles et des animations.;;Archives en ligne;Approfondir ses connaissances;Tous publics;Images, collections numérisées, bases de données;Archives;;Le temps d’une soirée;Accès permanent;Collectivité territoriale;;;;660 boulevard John Kennedy 83300 Draguignan;43.5352619;6.4758454;43.5352619,6.4758454
626;Archives municipales;1 rue d'Enfer;44000;Nantes;https://patrimonia.nantes.fr/home/actualites/puzzles-en-ligne.html;Des puzzles, de toute taille donc de différentes difficulté,s réalisés à partir de documents iconographiques conservés dans les collections des Archives de Nantes : plans, gravures, affiches, photographies, dessins;;Les archives, façon puzzles !;Jeux;Tous publics;Jeux;"Architecture et patrimoine;Histoire";;Le temps de manger un sandwich pendant une pause déjeuner;Accès permanent;Collectivité territoriale;;;;1 rue d'Enfer 44000 Nantes;47.2190871;-1.5542843;47.2190871,-1.5542843
629;Archives municipales;1, place des Archives;69002;Lyon;https://www.youtube.com/playlist?list=PL246I5tAPe52rIRl9bS93ZIBlVDU6Wtno;Un replay sonore de toutes les conférences proposées aux Archives de Lyon. Patrimoine, architecture, histoire, imprimerie, archives, urbanisme.... Une mine de connaissances mise à disposition gratuitement !;;Les conférences des Archives de Lyon en replay sonore;Audios;Tous publics;"Audio, radio, podcasts;Création et pratiques artistiques";Architecture et patrimoine;;Le temps d’un week-end;Accès permanent;Collectivité territoriale;;;;1, place des Archives 69002 Lyon;45.7477966;4.8246267;45.7477966,4.8246267
638;Archives municipales et métropolitaines;Hôtel de Ville Place de l'Etape;45040;Orléans;http://archives.orleans-metropole.fr/r/19/expositions-virtuelles/;Une vingtaine d'expositions virtuelles réalisées par les Archives d'Orléans sont consultables directement en ligne. Découvrez la ville à travers son histoire, ses quartiers, ses édifices et ses habitants.;;Orléans - Expositions virtuelles des Archives;Expos, musées;Tous publics;Images, collections numérisées, bases de données;Archives;;Le temps d’un vrai déjeuner;Accès permanent;Collectivité territoriale;;;;Hôtel de Ville Place de l'Etape 45040 Orléans;47.902757;1.908842;47.902757,1.908842
639;Archives municipales et métropolitaines;Hôtel de Ville Place de l'Etape;45040;Orléans;http://archives.orleans-metropole.fr/r/639/jeux/;La rubrique jeux du site Internet des Archives d'Orléans propose des puzzles numériques, des quiz et des cocottes en papier (à télécharger ou à créer à partir d'un modèle mis à disposition. La rubrique est alimentée régulièrement. Les puzzles sont classés par niveau de difficulté et permettent de jouer avec les collections des archives.;;Jouez avec les archives;Jeux;Tous publics;Jeux;Archives;Jeu utilisant du HTML;Le temps d’un vrai déjeuner;Accès permanent;Collectivité territoriale;;;;Hôtel de Ville Place de l'Etape 45040 Orléans;47.902757;1.908842;47.902757,1.908842
