nom_editeur;adresse;code_postal;ville;departement;url_site_web;annee_creation;diffusion;distribution;nombre_titre_catalogue;nombre_publication;domaines_editoriaux;presence_salon_du_livre_paris_2014;racine_isbn;siret_ou_siren;id;wgs84
FILIGRANES;22 rue du Faubourg-du-Temple;75011;PARIS;75;www.filigranes.com;1988;Pollen littéral;Pollen littéral;490;25;"Art contemporain ; Livres d'artistes ; Photographie";Oui;35046;;IF06_043_11290715480;48.8680445,2.3666546
ÉDITIONS JEAN-CYRILLE GODEFROY;12 rue Chabanais;75002;PARIS;75;www.editionsjcgodefroy.fr;1981;Dilisco;Dilisco;80;10;"Documents, actualités, essais ; Ouvrage de documentation";Non;86553;;IF76_043_7826055611;48.8676218,2.3370394
EDP SCIENCES ÉDITIONS;17 avenue du Hoggar;91944;LES-ULIS;91;www.edpsciences.org;1920;Sofedis;Sofedis;500;50;Sciences et techniques, médecine et gestion (livre);Non;86883;;IF76_043_7826055974;48.686618,2.2021857
ÉDITIONS DU SEXTANT;185 bis rue Ordener;75018;PARIS;75;www.editionsdusextant.fr;2003;Harmonia Mundi;Harmonia Mundi;45;7;Sciences humaines et sociales;Non;84978;45023006500010;IF76_043_7826056058;48.8934794,2.335215
ÉDITIONS DE L'AMANDIER;56 boulevard Davout;75020;PARIS;75;www.editionsamandier.fr;1988;Auto-diffusion;Auto-distribution;403;30;"Photographie  ; Poésie ; Théâtre";Non;35516;34362141300024;IF76_043_7990281583;48.8518268,2.4109768
ÉDITIONS ODILE JACOB;15 rue Soufflot;75240;PARIS;75;www.odilejacob.fr;1986;Hachette;Sodis;3900;200;"Histoire  ; Médecine  ; Philosophie  ; Politique  ; Roman, nouvelle ; Sciences économiques  ; Sciences humaines et sociales";Non;7381;;IF76_043_7826055896;48.8467642,2.3420081
DIANE DE SELLIERS ÉDITIONS;20 rue d'Anjou;75008;PARIS;75;www.editionsdianedeselliers.com;1992;Volumen;Volumen;75;1;Arts (livres);Non;903656;;IF76_043_7826056172;48.870824,2.3215597
TOURBILLON;10 rue Rémy Dumoncel;75014;PARIS;75;www.editions-tourbillon.fr;2001;Volumen;Volumen;718;66;Livre jeunesse;Non;84801;43997580600019;IF76_043_7826056292;48.8297745,2.3329207
PLAY BAC ÉDITIONS;33 rue du Petit-Musc;75004;PARIS;75;www.playbac.fr;1986;Hatier;Hachette;930;40;"Livre jeunesse ; Parascolaire";Non;8096;;IF76_043_7826056730;48.8533691,2.364891
AGNÈS VIÉNOT ÉDITIONS;11 rue Jean de Beauvais;75005;PARIS;75;www.agnesvienot.fr;1995;Volumen;Volumen;130;15;"Cuisine, gastronomie et vins  ; Loisirs, vie pratique, tourisme";Non;235326;;IF76_043_7826055479;48.8493954,2.3470761
