Identifiant;Nom générique;Nom de la manifestation;Descriptif court;Descriptif long;Date début;Date fin;Horaires;Dates affichage - horaires;Modification dernière minute;Lieu - nom;Lieu - adresse 1;Lieu - adresse 2;Lieu - adresse 3;Code postal;Commune;Type de manifestation;Catégorie de la manifestation;Thème de la manifestation;Station métro/Tram à proximité;GoogleMap latitude;GoogleMap longitude;Réservation téléphone;Réservation email;Réservation site internet;Manifestation gratuite;Tarif normal;Tarif enfant;Tranche âge enfant;Geo Point
FMAMID031V50JTQH;;AMAPOLA;"POLYMORPHONIE
Polyphonies mouvementées
Tout public
Durée: 1h10";"Polymorphonie est un spectacle polymorphe par sa mise en scène et grâce à leurs différentes pratiques (cirque, jeu, clown, conte…), les chanteuses  transportent avec générosité le spectateur entre rire et émotions fortes, au delà de la compréhension des différentes langues.

La recherche d’harmonies et la création d’une musicalité puissante développent une texture sonore propre au groupe, sur un répertoire de musiques traditionnelles du monde. Une invitation au voyage. Depuis la création, plus d’une centaine de dates à travers la France avec un retour du public très chaleureux. Et ce n’est pas fini !";2021-01-31;2021-01-31;A 17h30;Le 31/01/2021 - A 17h30;;LA GRAINERIE;La Grainerie sous chapiteau;61 Rue Saint-jean;;31130;BALMA;Culturelle;Animations, Spectacle;Cirque;Métro ligne A Balma Gramont;43.622437;1.488283;;;la-grainerie.festik.net/amapola-polymorphonie;;De 12,00 € à 15,00 €;;;43.622437,1.488283
FMAMID031V50HKKK;;APÉRÔ HUÎTRES, SAUCISSE ET VIN BLANC ! (TOULOUSE A TABLE);"4ème édition !  Pour ce rendez-vous attendu des amoureux du bien manger dès 18h !
RDV Square Général de Gaulle";"Convivialité, partages et nouvelles rencontres, toujours autour de nos produits régionaux.

Inscription ouverte en ligne

Programmation Culturelle: A venir...

Des producteurs ostréicoles, des vignerons de l’IVSO et la fameuse saucisse by Moustache vont vous faire découvrir la saveur de produits régionaux, qui se marient parfaitement les uns avec les autres. 

Objectifs : Se réunir et aaaaapér……….ôôôôôô !!
Buvette et surprises…

Entrée libre.";2020-09-04;2020-09-04;De 18h à 22h;Le 04/09/2020 - De 18h à 22h;;SQUARE CHARLES DE GAULLE;;Square Charles De Gaulle;;31000;TOULOUSE;Insolite;Animations;Gastronomie;Métro ligne A Capitole;43.6045802;1.44513029;;;toulouseatable.org;;De 10,80 € à 12,00 €;;4 - 7 ans  /  8 - 12 ans  /  plus de 12 ans;43.6045802,1.44513029
FMAMID031V50ISXH;;BACH JEAN-SEBASTIEN SUITES ET DANSES  (MUSIQUE EN DIALOGUE AUX CARMÉLITES);"Maitane Sebastián, violoncelle
Laure Thouault, chorégraphie et danse
Fanny Léon, Joss Thao, danse Hip Hop";"En la ravissante Chapelle des Carmélites, joyau du patrimoine toulousain, trois des plus riches époques de la musique -baroque, classique, romantique- sont déclinées à travers le portrait de leurs grands représentants réunis ici par la lettre B.

Au-delà de ce lien alphabétique, le point commun entre ces concerts est le choix des textes, partie intégrante de la vie des compositeurs : la correspondance de la famille Bach, le testament d’Heiligenstadt de Beethoven, les mémoires et lettres de Berlioz. Ce ne sont pas des illustrations littéraires mais bien des pages de l’existence de ces musiciens où les notes mariées aux mots donnent un sens particulier à cette édition qui offre trois créations et un succès déjà reconnu.

Et, pour la première fois ici, un spectacle où le langage n’est pas vocal mais corporel, où les danseurs dialoguent avec le violoncelle, le Hip Hop en harmonie avec les Suites de Bach, danses brillantes et intenses.

Si vous partiez sur une île déserte quelle musique emporteriez-vous ? Les Suites pour violoncelle seul de Bach répondent
de nombreuses personnes !
Et vous pourriez vous recueillir, rêver, philosopher et même
danser à votre gré sur ces pièces universelles et intemporelles,
sarabandes, menuets, gigues, bourrées ou gavottes...
En cette fin de juillet nous vous invitons à partager notre île avec
l’émouvante musicienne basque Maitane Sebastian et des danseurs de Hip Hop. Pour la première fois à Musique en Dialogue
aux Carmélites la musique dialogue non pas avec la voix parlée
mais avec le langage corporel, le corps des danseurs en harmonie avec le violoncelle sur ces danses brillantes et intenses.


MUSIQUE
Jean-Sébastien Bach (1685-1750)
Suites pour violoncelle seul
Suite N° 1 en sol majeur BWV 1007 (1720)
Suite N°3 en do majeur 1009 (1722)
Entracte
Suite N° 5 en do mineur BWV 1011 (1724)

Buvette à l’entracte pour goûter sur place.";2020-09-27;2020-09-27;A 16H00;Le 27/09/2020 - A 16H00;;CHAPELLE DES CARMELITES;;1 Rue du Périgord;;31000;TOULOUSE;Musique;Concert, Spectacle;Musique classique;Jeanne d'Arc / Capitole;43.6075064;1.44326425;05 62 72 23 35 Renseignements 05 61 99 44 00 Haute Garonne Tourisme;;musiquendialogue.festik.net;;De  € à 24,00 €;De  € à 15,00 €  -  De  € à 0,00 €;;43.6075064,1.44326425
FMAMID031V501J9A;;CAFÉ ÉPHÉMÈRE AU MUSEE GEORGES LABIT;"Avec Florian's coffee
Tout public";Le Florian’s coffee s’installe ce dimanche dans le magnifique jardin du musée Georges Labit. Pour une pause après votre visite du musée ou lors de votre balade dominicale dans le quartier ou le long du canal du midi !;2020-09-06;2020-09-06;De 10h à 18h;Le 06/09/2020 - De 10h à 18h;;MUSEE GEORGES LABIT;;17 rue du Japon;;31400;TOULOUSE;Culturelle, Nature et détente;Animations;;Métro ligne B Carmes, Palais de Justice ou François Verdier;43.5907958;1.4583851;;;;Oui;;;;43.5907958,1.4583851
FMAMID031V50HHRC;;CINÉ BISTROT (FESTIVAL FIFIGROT);Un seul et unique ciné bistrot cette année, et certainement le meilleur !;"Gromanche 20 septemb’ à 19h au Taquin
Entracte en cours de séance.
Participation libre et nécessaire dans la limite des places disponibles

Oui, vous, survivants d’une semaine de Groland, de beuveries à n’en plus finir, des films barrés en tous genres… vous les meilleurs des meilleurs !

On vous réserve pour clore le festival une sélection des meilleurs courts-métrages !";2020-09-20;2020-09-20;De 19h à 22h;Le 20/09/2020 - De 19h à 22h;;LE TAQUIN;;23 Rue des Amidonniers;;31000;TOULOUSE;Culturelle;Cinéma;Cinéma, Vidéo;Métro ligne B Compans Caffarelli;43.605926;1.427876;;;www.fifigrot.com;Oui;;;;43.605926,1.427876
FMAMID031V50IC94;;CLAUDIO CAPEO;Le concert de Claudio Capéo prévu initialement le samedi 05 septembre 2020 au Zénith Toulouse Métropole est reporté de nouveau au samedi 08 mai 2021.;"Claudio Capéo est un artiste incontournable, vraie révélation musicale de ces deux dernières années, il ne quitte plus le paysage musical depuis sa 1ère apparition en 2016 avec son tube Un homme debout, et depuis, il enchaîne les succès, ça va ça va, Riche, ou encore son duo sur Un peu de rêve avec Vitaa.
Son dernier album s’est classé N°1 des ventes dès sa sortie pendant 5 semaines consécutives et s’est écoulé à plus de 700 000 exemplaires, faisant de cet opus le plus gros succès pour un artiste révélation.

Communiqué de l'artiste le 23 mars :
""Les amis, tout d’abord, nous espérons que tout va bien pour vous et vos proches !
Il y a une dizaine de jours, nous avons annoncé un report de ma tournée de Zénith pour le mois de juin.
Nous avons finalement préféré décaler nos concerts un peu plus tard, au mois de septembre, et être sûrs de pouvoir vous retrouver !
Les billets achetés seront valables pour le mois de septembre, ou sont remboursables auprès de votre point de vente.
Hâte de vous revoir tous pour faire la fête !""

Les billets achetés pour les 19/03, 11/06 et 05/09/2020 restent valables pour cette nouvelle date.
Les personnes ne pouvant assister au spectacle reporté, sont invitées à se rapprocher de leur point vente avant le 30/09/2020"".";2021-05-08;2021-05-08;A 20h.;Le 08/05/2021 - A 20h.;REPORTE;ZENITH TOULOUSE METROPOLE;;11 Avenue Raymond Badiou;;31300;TOULOUSE;Musique;Concert;;Zénith;43.598264;1.4092542;;;zenith-toulousemetropole.com/programmation/claudio-capeo-2148.html;;;;;43.598264,1.4092542
FMAMID031V50JIJU;;CLÔTURE : LES CONCERTOS POUR ORGUE DE HAYDN (TOULOUSE LES ORGUES);"Le Concert de la Loge invite Benjamin Alard
Concert de Clôture";"Pour ce concert de clôture, un programme rare donné par des musiciens talentueux.
Les concertos pour orgue de Haydn se cachent au milieu d’une production abondante et géniale de symphonies. Ils seront mis en valeur par l’ensemble Le Concert de la Loge, reconnu pour ses interprétations de Haydn et qui fera sa Première à Toulouse. L’ensemble a choisi pour organiste soliste Benjamin Alard, qui, à l’orgue positif, proposera en plus des incursions dans la musique de Mozart.
Un concert intime et tonique comme dernière note du Festival 2020 !

AU PROGRAMME
Oeuvres de J. Haydn et W. A. Mozart

INTERPRETES
Concert de la Loge
Benjamin ALARD, orgue

Ouverture de la billetterie : Lundi 21 septembre 2020
Réservation fortement conseillée en raison du contexte sanitaire";2020-10-18;2020-10-18;A 16h;Le 18/10/2020 - A 16h;;CATHÉDRALE SAINT-ÉTIENNE;Place Saint Etienne;Place Saint Etienne;;31000;TOULOUSE;Culturelle, Musique;Concert, Festival;Musical;Métro ligne A Esquirol ou métro ligne B François-Verdier;43.59965;1.449474;05 61 33 76 87;;billetterie.toulouse-les-orgues.org;;De 8,00 € à 26,00 €;;;43.59965,1.449474
FMAMID031V50JJ1I;;COSI FAN TUTTE (SAISON THÉÂTRE DU CAPITOLE);"Opéra buffa en deux actes en langue italienne surtitré en français
Livret de Lorenzo Da Ponte
Création le 26 janvier 1790 au Burgtheater de Vienne
Durée: 3h30";"Mozart ouvrira la saison 2020/2021 du Théâtre du Capitole avec une musique d’une
élégance et d’un raffinement sans pareils, celle de Così fan tutte. Pour servir cette
partition, l’un des grands talents d’aujourd’hui : la cheffe d’orchestre italienne
Speranza Scappucci. Conçue pour le Théâtre baroque de Drottningholm, la
merveilleuse production du metteur en scène Ivan Alexandre conviera notamment
la soprano Anne-Catherine Gillet, qui retrouvera la scène du Capitole pour sa
première Fiordiligi.

En août 1789, Les Noces de Figaro, reprises à Vienne, connaissent un succès tel que Joseph II commande à Mozart et Da Ponte un nouvel opéra buffa pour le théâtre de la cour. Così fan tutte, écrit et composé en quelques mois, rencontre un succès honnête. L’opéra, repris ensuite dans les théâtres allemands, connaîtra un accueil très favorable, mais sera l’objet de critiques sévères au XIXe siècle et ne réapparaîtra au répertoire qu’au cours du XXe siècle.

Pour sa troisième et dernière collaboration avec Mozart, Da Ponte écrit un livret original dont le titre est fourni par une réplique des Noces de Figaro. Avec un sujet vieux comme le monde (la fidélité conjugale), un procédé théâtral usé jusqu’à la corde (le déguisement) et un thème très en vogue au XVIIIe siècle (le pari), Da Ponte et Mozart font un opéra absolument neuf. Le livret met en scène six personnages sans aucun rôle secondaire, et développe l’unique thème du pari dans une progression dramatique limpide. Il adopte les allures de la farce, typiques de l’opéra buffa, mais cette trame laisse apparaître les fragilités, la cruauté, l’authenticité, l’émotion, les incertitudes. Le déguisement est le moteur même de Così fan tutte. Il permet d’observer comment les femmes seront infidèles et de démontrer ainsi le postulat de départ : così fan tutte (« elles font toutes de même »). 

(Répétition générale : jeudi 24 septembre à 14h)";;;A 20h A 20h A 20h A 15h A 20h A 20h A 15h;Le 26/09/2020 - A 20h Le 29/09/2020 - A 20h Le 02/10/2020 - A 20h Le 04/10/2020 - A 15h Le 07/10/2020 - A 20h Le 09/10/2020 - A 20h Le 11/10/2020 - A 15h;;THEATRE DU CAPITOLE;;Place du Capitole;;31000;TOULOUSE;Culturelle;Opéra;Art lyrique;Métro ligne A Capitole;43.603872;1.444053;05 61 63 13 13;;www.theatreducapitole.fr;;De 10,00 € à 109,00 €;;;43.603872,1.444053
FMAMID031V50JIAV;;DANS LES DÉDALES DE JULES VERNE (TOULOUSE LES ORGUES);"Immersion musicale imminente
Jeune public, orgue en famille 
A partir de 7 ans.";"Attention au départ ! Avec Jules Verne, aventure et inventions ne sont jamais éloignées.
Dans ce spectacle plein de fantaisie, les artistes emmènent enfants et parents dans un voyage au cœur des célèbres machines de l’écrivain et dans le ventre de l’orgue ! Bienvenue dans une grande fresque musicale dont vous serez le héros

INTERPRETES
Baptiste GENNIAUX, orgue
Vincent DUBUS, orgue.

Ouverture de la billetterie : Lundi 21 septembre 2020
Réservation fortement conseillée en raison du contexte sanitaire";2020-10-10;2020-10-10;A 17h;Le 10/10/2020 - A 17h;;EGLISE DU GESU;22bis Rue des Fleurs;;;31000;TOULOUSE;Culturelle, Musique;Festival, Spectacle;Musical;Métro ligne B Carmes ou Palais de Justice;43.5944978;1.44695495;05 61 33 76 87;;billetterie.toulouse-les-orgues.org;;De 5,00 € à 5,00 €;;8 - 12 ans  /  plus de 12 ans;43.5944978,1.44695495
FMAMID031V50IQU5;;DAVID HALLYDAY - ETERNEL TOUR;Après avoir enflammé la Salle Pleyel, David Hallyday est en concert à Toulouse pour interpréter, en autres tubes, ceux de son dernier album, “J’ai quelque chose à vous dire”.;"Ce cri d’amour est porté par la bouleversante “Ma dernière lettre” dont sa demi-sœur Laura a réalisé le clip. Un événement à ne pas manquer !

En décembre 2018, un an après la disparition de son père, David Hallyday publiait son treizième album, aux allures d’exutoire : “C’est un disque thérapeutique qui m’a permis d’échapper à beaucoup de choses et à une immense tristesse… Je fais ce métier parce que c’est un refuge qui me donne la possibilité d’exprimer mes émotions, moi qui n’aime pas parler…” a-t-il confié sur Chérie FM. “J’ai quelque chose à vous dire” a été composé par ses soins chez lui, dans son studio, et co-réalisé par Pierre Jaconelli, son collaborateur de “Un Paradis / Un enfer” (dont était extraite “Tu ne m’as pas laissé le temps”) et du fameux “Sang pour sang” (disque que David Hallyday avait écrit pour son père, et qui détient le record de ventes d’un album de Johnny). Lionel Florence, Arno Santamaria et Julie d’Aimé ont participé aux textes de ces onze titres pop-rock dont les sonorités rappellent les univers de Coldplay ou Imagine Dragons, et qui ont fait un tabac dès leur première diffusion. Les mots sont forts, parfois durs, en écho à une blessure qui ne se refermera probablement jamais : “Ce n’est pas un album de plus. J’ai franchi quelques montagnes, j’ai laissé derrière moi des choses très douloureuses”. Ce musicien pudique, qui a grandi à Los Angeles auprès de sa mère Sylvie Vartan, a toujours bénéficié d’une gigantesque cote d’amour de la part du public français, et pour cette série de concerts qui fait étape à Deauville, les fans de la nouvelle génération rejoignent ceux de ses débuts. Frissons à prévoir dans ce show placé sous le signe du rock’n’roll et de l’émotion.";2020-11-03;2020-11-03;A 18h;Le 03/11/2020 - A 18h;;CASINO THEATRE BARRIERE;Ile du Ramier;18 chemin de la Loge;;31000;TOULOUSE;;Concert, Spectacle;;;43.5720003;1.4342577;05 61 33 37 77;;www.casinosbarriere.com/fr/toulouse/spectacles-et-animations/concert/david-hallyday.html;;57,50 €;;;43.5720003,1.4342577
