code_int;ext_arrete_covid;etablissement;adresse;geopoint;domaine_activite;terrasse_sur_stationnement;terrasse_ouverte;terrasse_fermee;extension_terrasse;terrasse_marquise
;;DARTY;8 Place Etienne Esquirol 31000 TOULOUSE;43.600623,1.444358;Terrasse;Sans terrasse sur stationnement;Sans terrasse ouverte;Sans terrasse fermée;Sans extension terrasse;Terrasse marquise
;;LE TRIO;39 Avenue Jean Chaubet 31500 TOULOUSE;43.601617,1.469278;Terrasse;Sans terrasse sur stationnement;Terrasse ouverte;Sans terrasse fermée;Sans extension terrasse;Sans terrasse marquise
https://eu.ftp.opendatasoft.com/toulouse-metropole/terrasses/10625.pdf;https://eu.ftp.opendatasoft.com/toulouse-metropole/terrasses/10625_COVID.pdf;LE VECCHIO;22 Allées Jean Jaurès 31000 TOULOUSE;43.605839,1.449404;Terrasse;Sans terrasse sur stationnement;Terrasse ouverte;Sans terrasse fermée;Sans extension terrasse;Sans terrasse marquise
https://eu.ftp.opendatasoft.com/toulouse-metropole/terrasses/10641.pdf;;CONNEXION CAFE;8 Rue Gabriel Péri 31000 TOULOUSE;43.605568,1.450473;Terrasse;Sans terrasse sur stationnement;Terrasse ouverte;Sans terrasse fermée;Sans extension terrasse;Sans terrasse marquise
https://eu.ftp.opendatasoft.com/toulouse-metropole/terrasses/10786.pdf;;LE BOMBAY;11 Rue des Gestes 31000 TOULOUSE;43.603079,1.443085;Terrasse;Sans terrasse sur stationnement;Terrasse ouverte;Sans terrasse fermée;Sans extension terrasse;Sans terrasse marquise
https://eu.ftp.opendatasoft.com/toulouse-metropole/terrasses/10832.pdf;;COTE GARONNE;8 Avenue Maurice Hauriou 31000 TOULOUSE;43.592983,1.443225;Terrasse;Sans terrasse sur stationnement;Terrasse ouverte;Sans terrasse fermée;Extension terrasse;Sans terrasse marquise
https://eu.ftp.opendatasoft.com/toulouse-metropole/terrasses/10836.pdf;;L'ESTAMINET CHEZ K;4 -5 Place du Parlement 31000 TOULOUSE;43.593778,1.443849;Terrasse;Sans terrasse sur stationnement;Terrasse ouverte;Sans terrasse fermée;Sans extension terrasse;Sans terrasse marquise
https://eu.ftp.opendatasoft.com/toulouse-metropole/terrasses/10873.pdf;https://eu.ftp.opendatasoft.com/toulouse-metropole/terrasses/10873_COVID.pdf;CAFE DE TOULOUSE;2 Grande-Rue Saint Nicolas 31300 TOULOUSE;43.599483,1.435957;Terrasse;Sans terrasse sur stationnement;Terrasse ouverte;Sans terrasse fermée;Sans extension terrasse;Sans terrasse marquise
https://eu.ftp.opendatasoft.com/toulouse-metropole/terrasses/10887.pdf;https://eu.ftp.opendatasoft.com/toulouse-metropole/terrasses/10887_COVID.pdf;THE DISPENSARY;1 Rue Marthe Varsi 31300 TOULOUSE;43.599212,1.429115;Terrasse;Sans terrasse sur stationnement;Terrasse ouverte;Sans terrasse fermée;Sans extension terrasse;Sans terrasse marquise
https://eu.ftp.opendatasoft.com/toulouse-metropole/terrasses/10965.pdf;;LE PERE LEON;2 Place Etienne Esquirol 31000 TOULOUSE;43.600567,1.443902;Terrasse;Sans terrasse sur stationnement;Terrasse ouverte;Terrasse fermée;Sans extension terrasse;Sans terrasse marquise
