geo_point_2d;geo_shape;eq_nom_equipement;eq_gestionnaire;eq_telephone;numero;lib_off;id_secteur_postal;eq_ville;eq_secteur;eq_quartier;eq_site_web
43.5853243368,1.42863535108;"{""type"": ""MultiPoint"", ""coordinates"": [[1.428635351082159, 43.58532433681389]]}";EL BARRIO LATINO;Structure commerciale;05 61 59 00 58;144;AV DE MURET;31300;TOULOUSE;2;2.2;http://www.barrio-latino-toulouse.com
43.5792938992,1.45005261917;"{""type"": ""MultiPoint"", ""coordinates"": [[1.450052619168884, 43.57929389924386]]}";FAIRFIELD CAFE;Structure commerciale;05 61 53 45 82;110;AV JULES JULIEN;31400;TOULOUSE;5;5.3;
43.5982203056,1.43427400453;"{""type"": ""MultiPoint"", ""coordinates"": [[1.434274004528577, 43.59822030557189]]}";LE CARSON CITY;Structure commerciale;05 61 42 02 22;3;PL OLIVIER;31300;TOULOUSE;2;2.1;http://www.restaurant-carsoncity.com
43.5863999797,1.44693706376;"{""type"": ""MultiPoint"", ""coordinates"": [[1.446937063764412, 43.586399979655155]]}";MULLIGANS;Structure commerciale;05 61 14 04 21;39;GRANDE-RUE SAINT MICHEL;31400;TOULOUSE;5;5.3;
43.5988215249,1.44279339997;"{""type"": ""MultiPoint"", ""coordinates"": [[1.442793399974501, 43.598821524906704]]}";CITRON BLEU;Structure commerciale;05.62.17.54.06;18;RUE DES PARADOUX;31000;TOULOUSE;1;1.1;http://www.lecitronbleu.fr
43.5835767211,1.4505507305;"{""type"": ""MultiPoint"", ""coordinates"": [[1.450550730495817, 43.58357672106951]]}";DUBLINERS;Structure commerciale;05 61 14 23 16;46;AV MARCEL LANGER;31400;TOULOUSE;5;5.3;http://www.dubliners.fr
43.5570572034,1.41944702876;"{""type"": ""MultiPoint"", ""coordinates"": [[1.419447028761954, 43.55705720338867]]}";GARE AUX MORILLES;Structure commerciale;05 61 72 19 40;7;CHE DES SILOS;31100;TOULOUSE;2;2.2;http://www.gareauxmorilles.com
43.6108343119,1.43706022499;"{""type"": ""MultiPoint"", ""coordinates"": [[1.437060224986905, 43.610834311908626]]}";LE CACTUS;Structure commerciale;05 61 21 68 81;13;BD LASCROSSES;31000;TOULOUSE;1;1.1;
43.60347105,1.43644352638;"{""type"": ""MultiPoint"", ""coordinates"": [[1.436443526382151, 43.603471049991]]}";LE SAINT DES SEINS;Structure commerciale;05 61 22 11 39;5;PL SAINT PIERRE;31000;TOULOUSE;1;1.1;www.lesaintdesseins.com
43.5990078743,1.4566871425;"{""type"": ""MultiPoint"", ""coordinates"": [[1.456687142500258, 43.599007874339364]]}";PUERTO HABANA;Structure commerciale;05 61 54 45 61;12;PORT SAINT ETIENNE;31000;TOULOUSE;4;4.3;http://www.puerto-habana.com
43.6048655226,1.45108812874;"{""type"": ""MultiPoint"", ""coordinates"": [[1.45108812874166, 43.604865522609494]]}";FROG AND ROSBIF;Structure commerciale;05 61 99 28 57;14;RUE DE L INDUSTRIE;31000;TOULOUSE;1;1.3;http://www.frogpubs.com/
43.601465655,1.44393995229;"{""type"": ""MultiPoint"", ""coordinates"": [[1.443939952293877, 43.60146565496332]]}";LE CHAMPAGNE;Structure commerciale;05 61 21 24 67;4;RUE PEYRAS;31000;TOULOUSE;1;1.1;
43.5990803472,1.44396358749;"{""type"": ""MultiPoint"", ""coordinates"": [[1.443963587488393, 43.5990803472405]]}";LE CLASSICO;Structure commerciale;05 61 53 53 60;37;RUE DES FILATIERS;31000;TOULOUSE;1;1.1;http://www.classico-cafe.com
43.610784441,1.43936598844;"{""type"": ""MultiPoint"", ""coordinates"": [[1.439365988442462, 43.61078444101548]]}";LE COMMUNARD;Structure commerciale;05 61 23 90 78;17;PL ARNAUD BERNARD;31000;TOULOUSE;1;1.1;
43.5947782342,1.41357779346;"{""type"": ""MultiPoint"", ""coordinates"": [[1.413577793460548, 43.594778234186634]]}";L'AVENUE;Structure commerciale;05 61 42 63 34;100;AV DE LOMBEZ;31300;TOULOUSE;2;2.4;http://www.publavenue.fr
43.6054464753,1.45548371132;"{""type"": ""MultiPoint"", ""coordinates"": [[1.455483711322196, 43.60544647527275]]}";LA DYNAMO;Structure commerciale;;6;RUE AMELIE;31000;TOULOUSE;1;1.3;
43.5988630154,1.4318791638;"{""type"": ""MultiPoint"", ""coordinates"": [[1.431879163795873, 43.59886301541124]]}";LA LOUPIOTE;Structure commerciale;05 61 42 76 76;39;RUE RECLUSANE;31300;TOULOUSE;2;2.1;
43.6097200228,1.43920735649;"{""type"": ""MultiPoint"", ""coordinates"": [[1.439207356494118, 43.60972002284661]]}";LA MAISON BLANCHE;Structure commerciale;09 52 92 57 22;10;RUE ARNAUD BERNARD;31000;TOULOUSE;1;1.1;www.cafe-maison-blanche.fr
43.6044113735,1.45145891435;"{""type"": ""MultiPoint"", ""coordinates"": [[1.451458914345619, 43.604411373451654]]}";LE CAFE POPULAIRE;Structure commerciale;05 61 63 07 00;9;RUE DE LA COLOMBETTE;31000;TOULOUSE;1;1.3;
43.60521889,1.45799195099;"{""type"": ""MultiPoint"", ""coordinates"": [[1.457991950993631, 43.605218889964235]]}";LES METS'TISSES;Structure commerciale;05 61 20 52 20;1;RUE DENIS PAPIN;31500;TOULOUSE;4;4.2;http://www.lesmetstisses.fr
43.607325923,1.42861405364;"{""type"": ""MultiPoint"", ""coordinates"": [[1.428614053638515, 43.60732592300883]]}";PENICHE LE CRI DE LA MOUETTE;Association;05 62 30 05 28;;ALL DE BARCELONE;31000;TOULOUSE;1;1.2;
43.6055718028,1.45543098999;"{""type"": ""MultiPoint"", ""coordinates"": [[1.455430989993272, 43.605571802774435]]}";REST'O JAZZ;Structure commerciale;05 61 57 96 95;8;RUE AMELIE;31000;TOULOUSE;1;1.3;http://www.restojazz.com/
43.6059510656,1.44812447094;"{""type"": ""MultiPoint"", ""coordinates"": [[1.448124470939907, 43.60595106558732]]}";CAFE ROCK LE DAUPHIN;Structure commerciale;05 61 21 92 18;3;BD DE STRASBOURG;31000;TOULOUSE;1;1.1;
43.5970084024,1.43253376148;"{""type"": ""MultiPoint"", ""coordinates"": [[1.432533761479521, 43.59700840238107]]}";ERICH COFFEE;Structure commerciale;05 61 42 04 27;9;RUE JOSEPH VIE;31300;TOULOUSE;2;2.1;
43.5740455376,1.47372430368;"{""type"": ""MultiPoint"", ""coordinates"": [[1.473724303677223, 43.57404553755731]]}";LE VENT DU SUD;Association;05 61 25 78 31;170;AV DE LESPINET;31400;TOULOUSE;5;5.1;
